Date,Year,Quarter,Quarter_Label,Month,Month_Name,Year_Month,Week_of_Year,Day_of_Week,Day_Name,Is_Weekend,Data_Type,Actual_Sales,Forecasted_Sales,Lower_Bound,Upper_Bound,Trend
2014-01-03,2014,1,Q1 2014,1,January,2014-01,1,4,Friday,0,Historical,16.448,699.4248325094061,-3155.2035110938255,4714.65279870826,1608.56056683652
2014-01-04,2014,1,Q1 2014,1,January,2014-01,1,5,Saturday,1,Historical,288.06,697.3254225641833,-3061.644239844503,4481.617861280667,1608.2606585314093
2014-01-05,2014,1,Q1 2014,1,January,2014-01,1,6,Sunday,1,Historical,19.536,1282.5274791957395,-2848.308627254409,5349.634508279411,1607.9607502262986
2014-01-06,2014,1,Q1 2014,1,January,2014-01,2,0,Monday,0,Historical,4407.1,1526.2177856262954,-2421.0973928501294,5471.817449954886,1607.6608419211877
2014-01-07,2014,1,Q1 2014,1,January,2014-01,2,1,Tuesday,0,Historical,87.15799999999999,1177.412202395067,-2797.439559805004,5291.121107542617,1607.3609336160769
2014-01-09,2014,1,Q1 2014,1,January,2014-01,2,3,Thursday,0,Historical,40.544,952.8877089356342,-3156.659313724743,4736.978083094523,1606.7611170058556
2014-01-10,2014,1,Q1 2014,1,January,2014-01,2,4,Friday,0,Historical,54.83,835.4152286575937,-3149.987892004217,4603.805252129259,1606.4612087007447
2014-01-11,2014,1,Q1 2014,1,January,2014-01,2,5,Saturday,1,Historical,9.94,345.4056864075644,-3596.6742609811627,4402.533673593721,1606.161300395634
2014-01-13,2014,1,Q1 2014,1,January,2014-01,3,0,Monday,0,Historical,3553.795,1264.0559117470027,-2746.4676098394484,5018.552138941076,1605.5614837854127
2014-01-14,2014,1,Q1 2014,1,January,2014-01,3,1,Tuesday,0,Historical,61.96,1370.834583573674,-2845.6265555290356,5175.225775542882,1605.2615754803019
2014-01-15,2014,1,Q1 2014,1,January,2014-01,3,2,Wednesday,0,Historical,149.95,839.3757551616898,-3021.5937198419674,4932.832520145975,1604.9616671751912
